id,inventaris_id,polygon,lat,lng
1,1127,"{""type"":""Polygon"",""coordinates"":[[[112.154592739,-8.117855315],[112.154519951,-8.118069398],[112.154316572,-8.118022299],[112.154372233,-8.117795372],[112.154592739,-8.117855315]]]}",-8.11793375,112.1544502
2,97,"{""type"":""Polygon"",""coordinates"":[[[112.154280178,-8.118345565],[112.154316572,-8.118022299],[112.154519951,-8.118069398],[112.154592739,-8.117855315],[112.154881751,-8.117951652],[112.154883891,-8.118118637],[112.154845357,-8.118122918],[112.154806822,-8.11825565],[112.154686935,-8.118390522],[112.154280178,-8.118345565]]]}",-8.118150153,112.154592
3,1138,"{""type"":""Polygon"",""coordinates"":[[[112.152294538,-8.116577793],[112.151250977,-8.116500848],[112.151275022,-8.116327723],[112.152304156,-8.116380622],[112.152294538,-8.116577793]]]}",-8.116447665,112.1517919
4,1139,"{""type"":""Polygon"",""coordinates"":[[[112.151164414,-8.117121214],[112.151250977,-8.116500848],[112.152294538,-8.116577793],[112.152270493,-8.116851908],[112.152116604,-8.117313577],[112.151164414,-8.117121214]]]}",-8.116877446,112.1517337
5,1128,"{""type"":""Polygon"",""coordinates"":[[[112.152116604,-8.117313577],[112.15203966,-8.11769349],[112.151111514,-8.117563646],[112.151164414,-8.117121214],[112.152116604,-8.117313577]]]}",-8.117419922,112.1515974
6,1144,"{""type"":""Polygon"",""coordinates"":[[[112.15234763,-8.11678766],[112.152784675,-8.116929238],[112.15282604,-8.116997318],[112.153138621,-8.117101594],[112.153083221,-8.117529406],[112.152212085,-8.117205745],[112.15234763,-8.11678766]]]}",-8.117154229,112.1526887
7,1137,"{""type"":""Polygon"",""coordinates"":[[[112.151869138,-8.118523297],[112.151828915,-8.11867459],[112.150920874,-8.118544871],[112.150921886,-8.118539661],[112.150951511,-8.118398469],[112.150987767,-8.118225687],[112.151031739,-8.118016163],[112.151079119,-8.117772388],[112.152022045,-8.117906491],[112.15197008,-8.118143588],[112.151915332,-8.118349541],[112.151869138,-8.118523297]]]}",-8.118222413,112.1514658
8,870,"{""type"":""Polygon"",""coordinates"":[[[112.151828915,-8.11867459],[112.151773107,-8.118884516],[112.150877587,-8.118767968],[112.150920874,-8.118544871],[112.151828915,-8.11867459]]]}",-8.118717158,112.1513463
9,1132,"{""type"":""Polygon"",""coordinates"":[[[112.151083746,-8.117168962],[112.151009205,-8.117578937],[112.150125364,-8.117461801],[112.150231851,-8.117073124],[112.151083746,-8.117168962]]]}",-8.117322454,112.1506153
10,1131,"{""type"":""Polygon"",""coordinates"":[[[112.150236963,-8.116982397],[112.150206294,-8.117070995],[112.150155181,-8.117278857],[112.150097252,-8.117473089],[112.149606561,-8.117404937],[112.149715603,-8.117306117],[112.149892797,-8.117050549],[112.149926873,-8.116921061],[112.150236963,-8.116982397]]]}",-8.117217599,112.1499724
11,1135,"{""type"":""Polygon"",""coordinates"":[[[112.150018878,-8.117899036],[112.150037603,-8.117814052],[112.150107475,-8.117496942],[112.151041151,-8.117609392],[112.150959369,-8.118021709],[112.150018878,-8.117899036]]]}",-8.117757305,112.1505334
12,1136,"{""type"":""Polygon"",""coordinates"":[[[112.150919841,-8.118231615],[112.150857142,-8.118542386],[112.149891359,-8.118433096],[112.149973898,-8.118108943],[112.149973867,-8.118108939],[112.149974024,-8.118108321],[112.150014471,-8.11792116],[112.150947102,-8.118043517],[112.150919841,-8.118231615]]]}",-8.118236353,112.1504274
13,1133,"{""type"":""Polygon"",""coordinates"":[[[112.149973898,-8.118108943],[112.149891359,-8.118433096],[112.149676757,-8.118408809],[112.149622236,-8.118318849],[112.149458672,-8.118253424],[112.149450494,-8.118133477],[112.149393246,-8.118032613],[112.149360534,-8.117956283],[112.149417781,-8.117825432],[112.149421597,-8.117765895],[112.149432065,-8.117732746],[112.149461725,-8.117687385],[112.149498363,-8.1176333],[112.149521044,-8.117549555],[112.149526278,-8.117505938],[112.149582108,-8.117418703],[112.150107475,-8.117496942],[112.150037603,-8.117814052],[112.150018878,-8.117899036],[112.150014471,-8.11792116],[112.149974024,-8.118108321],[112.149973898,-8.118108943]]]}",-8.117894992,112.1497348
14,869,"{""type"":""Polygon"",""coordinates"":[[[112.150840785,-8.118580551],[112.150797168,-8.118741389],[112.150764456,-8.118765924],[112.149597701,-8.118613264],[112.149663126,-8.118485139],[112.149695839,-8.118438796],[112.150840785,-8.118580551]]]}",-8.118601153,112.1502325
15,1130,"{""type"":""Polygon"",""coordinates"":[[[112.151514515,-8.114391754],[112.151666372,-8.11440627],[112.151630641,-8.114674253],[112.151482134,-8.114647455],[112.151514515,-8.114391754]]]}",-8.114529765,112.151574
16,1129,"{""type"":""Polygon"",""coordinates"":[[[112.142996073,-8.115225578],[112.143331507,-8.113660222],[112.143725508,-8.113708142],[112.143485913,-8.115305443],[112.142996073,-8.115225578]]]}",-8.11450444,112.1433798
17,1134,"{""type"":""Polygon"",""coordinates"":[[[112.152022045,-8.117906491],[112.151079119,-8.117772388],[112.151112767,-8.117599295],[112.152061176,-8.117727951],[112.152022045,-8.117906491]]]}",-8.117751841,112.1515715
18,76,"{""type"":""Polygon"",""coordinates"":[[[112.152261294,-8.102876087],[112.152480146,-8.102927897],[112.15248104,-8.102920751],[112.152611458,-8.102952909],[112.152565901,-8.103149429],[112.152223776,-8.103053849],[112.152261294,-8.102876087]]]}",-8.103009006,112.1524191
19,134,"{""type"":""Polygon"",""coordinates"":[[[112.156084365,-8.103062444],[112.156073625,-8.103125088],[112.156335526,-8.103152277],[112.156356972,-8.103021553],[112.156527351,-8.103035183],[112.156503497,-8.1032226],[112.156046882,-8.10316309],[112.156022947,-8.103416832],[112.155436926,-8.103345273],[112.15550167,-8.102967031],[112.156084365,-8.103062444]]]}",-8.103185787,112.1558583
20,136,"{""type"":""Polygon"",""coordinates"":[[[112.155624342,-8.102353667],[112.156169555,-8.102466118],[112.156084365,-8.103062444],[112.15550167,-8.102967031],[112.155624342,-8.102353667]]]}",-8.102714976,112.1558427
21,13,"{""type"":""Polygon"",""coordinates"":[[[112.15579404,-8.098445858],[112.158743639,-8.098699381],[112.158190248,-8.099416336],[112.155693176,-8.099023783],[112.15579404,-8.098445858]]]}",-8.098896754,112.1571726
22,98,"{""type"":""Polygon"",""coordinates"":[[[112.15759064,-8.099824761],[112.157570926,-8.099863737],[112.157697102,-8.099961997],[112.157672536,-8.100001078],[112.157702472,-8.100018938],[112.157613601,-8.100124277],[112.157209411,-8.100035152],[112.157254211,-8.099865046],[112.157279384,-8.099869801],[112.157315564,-8.099738057],[112.15759064,-8.099824761]]]}",-8.099946779,112.1574503
