id,inventaris_id,polygon,lat,lng,,,,,,,,,,polygon cek gedung,,,,1587E,"{""type"":""Polygon"",""coordinates"":[[[112.170494619,-8.08316542],[112.170197852,-8.083052885],[112.170160768,-8.083038823],[112.170197963,-8.082948608],[112.170550798,-8.083077906],[112.1705165,-8.083173717],[112.170494619,-8.08316542]]]}",-8.083060327,112.1703577
1,1,"{""type"":""Polygon"",""coordinates"":[[[112.171121231,-8.09825098,0],[112.171065363,-8.098505558,0],[112.170929121,-8.098481415,0],[112.170943147,-8.098217029,0],[112.171121231,-8.09825098,0]]]}",-8.098357932,112.1710154,,,,22,,,,,,#N/A,,,,1775I,"{""type"":""Polygon"",""coordinates"":[[[112.170503028,-8.083412343],[112.17055825,-8.083275294],[112.17066124,-8.083316792],[112.170606381,-8.08345294],[112.170503028,-8.083412343]]]}",-8.08336432,112.1705822
2,2,"{""type"":""Polygon"",""coordinates"":[[[112.177796862,-8.095485761,0],[112.177742164,-8.095700081,0],[112.177556349,-8.09567093,0],[112.177603316,-8.09543903,0],[112.177796862,-8.095485761,0]]]}",-8.095572633,112.1776738,,,,,,,,,,#N/A,,,,1587B,"{""type"":""Polygon"",""coordinates"":[[[112.170609756,-8.083188492],[112.170671355,-8.083210533],[112.170647352,-8.083277694],[112.170585752,-8.083255654],[112.170609756,-8.083188492]]]}",-8.083233093,112.1706286
3,3,"{""type"":""Polygon"",""coordinates"":[[[112.178487702,-8.093721326,0],[112.178301893,-8.093315803,0],[112.178590696,-8.093197445,0],[112.178772702,-8.093597083,0],[112.178487702,-8.093721326,0]]]}",-8.093457963,112.1785378,,,,25,,,,,,#N/A,,,,1509F,"{""type"":""Polygon"",""coordinates"":[[[112.170481833,-8.082975818],[112.170569446,-8.083004644],[112.170551836,-8.083058167],[112.170464223,-8.08302934],[112.170464219,-8.083027905],[112.170481833,-8.082975818]]]}",-8.083016978,112.1705167
4,4,"{""type"":""Polygon"",""coordinates"":[[[112.168248503,-8.110744735,0],[112.168194575,-8.110902976,0],[112.16806872,-8.110860039,0],[112.168123972,-8.11069999,0],[112.168248503,-8.110744735,0]]]}",-8.110801955,112.1681588,,,,7,,,,,,#N/A,,,,1587C,"{""type"":""Polygon"",""coordinates"":[[[112.170476148,-8.083479053],[112.170490248,-8.083444062],[112.170530635,-8.083460336],[112.170516724,-8.08349486],[112.170476148,-8.083479053]]]}",-8.08346956,112.1705034
5,5,"{""type"":""Polygon"",""coordinates"":[[[112.173460167,-8.100683887,0],[112.173332938,-8.101528225,0],[112.173145128,-8.101480735,0],[112.172779969,-8.101388396,0],[112.172326673,-8.101273767,0],[112.172743059,-8.0996622,0],[112.172958962,-8.099685333,0],[112.172958962,-8.09984726,0],[112.172858721,-8.100595213,0],[112.173038417,-8.100621707,0],[112.17317123,-8.100641288,0],[112.173460167,-8.100683887,0]]]}",-8.100800404,112.1728805,,,,107,,,,,,#N/A,,,,1546A,"{""type"":""Polygon"",""coordinates"":[[[112.17055825,-8.083275294],[112.170503028,-8.083412343],[112.170490248,-8.083444062],[112.170476148,-8.083479053],[112.170453874,-8.083534334],[112.170050062,-8.083378521],[112.170062018,-8.083352709],[112.17008824,-8.083296099],[112.170395909,-8.083415816],[112.170485528,-8.083187764],[112.170579744,-8.08322195],[112.17055825,-8.083275294]]]}",-8.083377842,112.1703536
6,6,"{""type"":""Polygon"",""coordinates"":[[[112.146529157,-8.095460825,0],[112.146512077,-8.095526707,0],[112.146424234,-8.095504746,0],[112.146436435,-8.095438864,0],[112.146529157,-8.095460825,0]]]}",-8.095482535,112.1464757,,,,39,,,,,,#N/A,,,,1587D,"{""type"":""Polygon"",""coordinates"":[[[112.170611988,-8.083493116],[112.170591327,-8.083544391],[112.170509974,-8.083511611],[112.170530635,-8.083460336],[112.170611988,-8.083493116]]]}",-8.083502364,112.170561
7,7,"{""type"":""Polygon"",""coordinates"":[[[112.154935991,-8.106495842,0],[112.154918863,-8.106569025,0],[112.154811424,-8.106537884,0],[112.154831666,-8.106466257,0],[112.154935991,-8.106495842,0]]]}",-8.10651746,112.1548745,,,,1,,,,,,#N/A,,,,1646G,"{""type"":""Polygon"",""coordinates"":[[[112.170494619,-8.08316542],[112.170485528,-8.083187764],[112.170395909,-8.083415816],[112.17008824,-8.083296099],[112.170197852,-8.083052885],[112.170494619,-8.08316542]]]}",-8.083233463,112.170294
8,8,"{""type"":""Polygon"",""coordinates"":[[[112.175697262,-8.094632963,0],[112.175546718,-8.095179797,0],[112.175505058,-8.09512905,0],[112.175294558,-8.094599088,0],[112.175479188,-8.094493135,0],[112.175494768,-8.094513599,0],[112.175498173,-8.094518073,0],[112.175500223,-8.094520764,0],[112.175635244,-8.094621753,0],[112.175636481,-8.094621977,0],[112.175646663,-8.094623817,0],[112.175697262,-8.094632963,0]]]}",-8.094776882,112.1755041,,,,17,,,,,,#N/A,,,,2395J,"{""type"":""Polygon"",""coordinates"":[[[112.170050062,-8.083378521],[112.17003465,-8.083411795],[112.169956502,-8.083375597],[112.169983871,-8.083316511],[112.170062018,-8.083352709],[112.170050062,-8.083378521]]]}",-8.083364153,112.1700093
9,9,"{""type"":""Polygon"",""coordinates"":[[[112.167524077,-8.098911174,0],[112.167525728,-8.099005365,0],[112.167458623,-8.099000497,0],[112.167574101,-8.097735889,0],[112.167632644,-8.097743714,0],[112.167595138,-8.098154881,0],[112.167604687,-8.09824848,0],[112.167589568,-8.098445949,0],[112.167572714,-8.098655885,0],[112.167553034,-8.098658106,0],[112.167543023,-8.098742396,0],[112.167524077,-8.098911174,0]]]}",-8.098381479,112.1675494,,,,21,,,,,,#N/A,,,,1546K,"{""type"":""Polygon"",""coordinates"":[[[112.170606835,-8.08318488],[112.170545012,-8.08316327],[112.170568459,-8.083095618],[112.170630066,-8.08311842],[112.170606835,-8.08318488]]]}",-8.0831405,112.1705875
10,11,"{""type"":""Polygon"",""coordinates"":[[[112.149174175,-8.086716023,0],[112.149055568,-8.08713875,0],[112.148699747,-8.087044473,0],[112.148800107,-8.086624787,0],[112.149174175,-8.086716023,0]]]}",-8.086879566,112.1489333,,,,36,,,,,,#N/A,,,,1512H,"{""type"":""Polygon"",""coordinates"":[[[112.170190332,-8.082911923],[112.16999956,-8.083323779],[112.169983871,-8.083316511],[112.170174642,-8.082904656],[112.170190332,-8.082911923]]]}",-8.083114217,112.1700871
