id,inventaris_id,polygon,lat,lng,,,,,
1,1,"{""type"":""Polygon"",""coordinates"":[[[112.171121231,-8.09825098,0],[112.171065363,-8.098505558,0],[112.170929121,-8.098481415,0],[112.170943147,-8.098217029,0],[112.171121231,-8.09825098,0]]]}",-8.098357932,112.1710154,,,22,,
2,2,"{""type"":""Polygon"",""coordinates"":[[[112.177796862,-8.095485761,0],[112.177742164,-8.095700081,0],[112.177556349,-8.09567093,0],[112.177603316,-8.09543903,0],[112.177796862,-8.095485761,0]]]}",-8.095572633,112.1776738,,,,,
3,3,"{""type"":""Polygon"",""coordinates"":[[[112.178487702,-8.093721326,0],[112.178301893,-8.093315803,0],[112.178590696,-8.093197445,0],[112.178772702,-8.093597083,0],[112.178487702,-8.093721326,0]]]}",-8.093457963,112.1785378,,,25,,
4,4,"{""type"":""Polygon"",""coordinates"":[[[112.168248503,-8.110744735,0],[112.168194575,-8.110902976,0],[112.16806872,-8.110860039,0],[112.168123972,-8.11069999,0],[112.168248503,-8.110744735,0]]]}",-8.110801955,112.1681588,,,7,,
5,5,"{""type"":""Polygon"",""coordinates"":[[[112.173460167,-8.100683887,0],[112.173332938,-8.101528225,0],[112.173145128,-8.101480735,0],[112.172779969,-8.101388396,0],[112.172326673,-8.101273767,0],[112.172743059,-8.0996622,0],[112.172958962,-8.099685333,0],[112.172958962,-8.09984726,0],[112.172858721,-8.100595213,0],[112.173038417,-8.100621707,0],[112.17317123,-8.100641288,0],[112.173460167,-8.100683887,0]]]}",-8.100800404,112.1728805,,,107,,
6,6,"{""type"":""Polygon"",""coordinates"":[[[112.146529157,-8.095460825,0],[112.146512077,-8.095526707,0],[112.146424234,-8.095504746,0],[112.146436435,-8.095438864,0],[112.146529157,-8.095460825,0]]]}",-8.095482535,112.1464757,,,39,,
7,7,"{""type"":""Polygon"",""coordinates"":[[[112.154935991,-8.106495842,0],[112.154918863,-8.106569025,0],[112.154811424,-8.106537884,0],[112.154831666,-8.106466257,0],[112.154935991,-8.106495842,0]]]}",-8.10651746,112.1548745,,,1,,
8,8,"{""type"":""Polygon"",""coordinates"":[[[112.175697262,-8.094632963,0],[112.175546718,-8.095179797,0],[112.175505058,-8.09512905,0],[112.175294558,-8.094599088,0],[112.175479188,-8.094493135,0],[112.175494768,-8.094513599,0],[112.175498173,-8.094518073,0],[112.175500223,-8.094520764,0],[112.175635244,-8.094621753,0],[112.175636481,-8.094621977,0],[112.175646663,-8.094623817,0],[112.175697262,-8.094632963,0]]]}",-8.094776882,112.1755041,,,17,,
9,9,"{""type"":""Polygon"",""coordinates"":[[[112.167524077,-8.098911174,0],[112.167525728,-8.099005365,0],[112.167458623,-8.099000497,0],[112.167574101,-8.097735889,0],[112.167632644,-8.097743714,0],[112.167595138,-8.098154881,0],[112.167604687,-8.09824848,0],[112.167589568,-8.098445949,0],[112.167572714,-8.098655885,0],[112.167553034,-8.098658106,0],[112.167543023,-8.098742396,0],[112.167524077,-8.098911174,0]]]}",-8.098381479,112.1675494,,,21,,
10,11,"{""type"":""Polygon"",""coordinates"":[[[112.149174175,-8.086716023,0],[112.149055568,-8.08713875,0],[112.148699747,-8.087044473,0],[112.148800107,-8.086624787,0],[112.149174175,-8.086716023,0]]]}",-8.086879566,112.1489333,,,36,,
11,12,"{""type"":""Polygon"",""coordinates"":[[[112.164517716,-8.100861969,0],[112.164396878,-8.101374098,0],[112.163264958,-8.101141485,0],[112.163382323,-8.100606786,0],[112.164517716,-8.100861969,0]]]}",-8.100994961,112.1638868,,,11,,
12,13,"{""type"":""Polygon"",""coordinates"":[[[112.158743639,-8.098699381,0],[112.158190248,-8.099416336,0],[112.155693176,-8.099023783,0],[112.15579404,-8.098445858,0],[112.158743639,-8.098699381,0]]]}",-8.098896754,112.1571726,,,41,,
13,14,"{""type"":""Polygon"",""coordinates"":[[[112.145990017,-8.09881148,0],[112.145884375,-8.098991461,0],[112.145618315,-8.098850606,0],[112.145657442,-8.098701926,0],[112.145990017,-8.09881148,0]]]}",-8.098840001,112.145796,,,41,,
14,15,"{""type"":""Polygon"",""coordinates"":[[[112.170944134,-8.094519785,0],[112.17074862,-8.095454327,0],[112.169975337,-8.095355382,0],[112.170037885,-8.094693208,0],[112.170404952,-8.094758876,0],[112.170468593,-8.094389114,0],[112.170944134,-8.094519785,0]]]}",-8.094969224,112.1704706,,,28,,
15,16,"{""type"":""Polygon"",""coordinates"":[[[112.179129915,-8.113559382,0],[112.179047169,-8.113826995,0],[112.179031393,-8.113822796,0],[112.17890064,-8.113787993,0],[112.179001868,-8.11352683,0],[112.17911645,-8.113555959,0],[112.179129915,-8.113559382,0]]]}",-8.113678366,112.1790189,,,28,,
16,17,"{""type"":""Polygon"",""coordinates"":[[[112.174188627,-8.099353605,0],[112.174161945,-8.099568676,0],[112.174013982,-8.099604252,0],[112.173910489,-8.099592124,0],[112.173924234,-8.099506419,0],[112.173971938,-8.099515313,0],[112.174011557,-8.09931722,0],[112.174188627,-8.099353605,0]]]}",-8.099471727,112.1740639,,,51,,
17,19,"{""type"":""Polygon"",""coordinates"":[[[112.178780874,-8.062157483,0],[112.178560774,-8.062694908,0],[112.178355382,-8.062601957,0],[112.178562784,-8.062077382,0],[112.178780874,-8.062157483,0]]]}",-8.062381792,112.178566,,,16,,
18,20,"{""type"":""Polygon"",""coordinates"":[[[112.145282072,-8.088139247,0],[112.145247738,-8.088169207,0],[112.144907123,-8.088072278,0],[112.144963568,-8.08786207,0],[112.145296042,-8.087916377,0],[112.145318975,-8.087944985,0],[112.145282072,-8.088139247,0]]]}",-8.088009581,112.1451209,,,18,,
19,21,"{""type"":""Polygon"",""coordinates"":[[[112.148863357,-8.090933303,0],[112.148582176,-8.091857863,0],[112.147829184,-8.091662466,0],[112.148129428,-8.090704546,0],[112.148863357,-8.090933303,0]]]}",-8.091289724,112.1483484,,,14,,
20,22,"{""type"":""Polygon"",""coordinates"":[[[112.142607214,-8.103538688,0],[112.142257866,-8.104626071,0],[112.141513361,-8.104396081,0],[112.141844107,-8.103345311,0],[112.141890895,-8.103340015,0],[112.142607214,-8.103538688,0]]]}",-8.103972211,112.1420585,,,14,,
21,23,"{""type"":""Polygon"",""coordinates"":[[[112.16710108,-8.091746967,0],[112.167087567,-8.091753918,0],[112.167075537,-8.091750389,0],[112.166992461,-8.091728923,0],[112.166981503,-8.091719933,0],[112.166977708,-8.091705875,0],[112.166988949,-8.09148296,0],[112.167010435,-8.091479276,0],[112.167103795,-8.091733997,0],[112.16710108,-8.091746967,0]]]}",-8.091641255,112.1670275,,,26,,
22,24,"{""type"":""Polygon"",""coordinates"":[[[112.169700448,-8.097852152,0],[112.169676699,-8.097856209,0],[112.169105281,-8.097738319,0],[112.169061581,-8.097701547,0],[112.169044042,-8.097663341,0],[112.169052197,-8.097339464,0],[112.169619784,-8.097384132,0],[112.169665124,-8.097392279,0],[112.169683291,-8.097421001,0],[112.169714916,-8.097835938,0],[112.169700448,-8.097852152,0]]]}",-8.097582692,112.1693845,,,31,,
23,25,"{""type"":""Polygon"",""coordinates"":[[[112.167979348,-8.089296319,0],[112.167820345,-8.089651231,0],[112.16741975,-8.089491985,0],[112.167560027,-8.089126539,0],[112.167979348,-8.089296319,0]]]}",-8.08938997,112.1676952,,,46,,
24,26,"{""type"":""Polygon"",""coordinates"":[[[112.146943415,-8.089289927,0],[112.146909159,-8.089414495,0],[112.146661581,-8.089342869,0],[112.146698952,-8.089226086,0],[112.146943415,-8.089289927,0]]]}",-8.089318849,112.1468043,,,5,,
25,28,"{""type"":""Polygon"",""coordinates"":[[[112.165686039,-8.099135892,0],[112.165606401,-8.099611317,0],[112.165000988,-8.099545944,0],[112.165103572,-8.099171907,0],[112.165214111,-8.099107581,0],[112.165686039,-8.099135892,0]]]}",-8.099354913,112.1653588,,,4,,
26,32,"{""type"":""Polygon"",""coordinates"":[[[112.183046834,-8.086281238,0],[112.183009382,-8.086572369,0],[112.182768872,-8.086539832,0],[112.182811008,-8.086244495,0],[112.183046834,-8.086281238,0]]]}",-8.08640985,112.1829086,,,40,,
27,33,"{""type"":""Polygon"",""coordinates"":[[[112.163588542,-8.12708398,0],[112.163572596,-8.12727488,0],[112.163420106,-8.127260433,0],[112.163442106,-8.127074988,0],[112.163588542,-8.12708398,0]]]}",-8.127174283,112.1635061,,,47,,
28,34,"{""type"":""Polygon"",""coordinates"":[[[112.151186687,-8.124439558,0],[112.151109327,-8.12464771,0],[112.150886819,-8.124578326,0],[112.150953412,-8.124372965,0],[112.151186687,-8.124439558,0]]]}",-8.124509118,112.1510348,,,8,,
29,35,"{""type"":""Polygon"",""coordinates"":[[[112.182936433,-8.096155219,0],[112.182926326,-8.09629166,0],[112.182624134,-8.096267404,0],[112.18264738,-8.096127931,0],[112.182936433,-8.096155219,0]]]}",-8.096210981,112.1827828,,,13,,
30,36,"{""type"":""Polygon"",""coordinates"":[[[112.170332481,-8.10923381,0],[112.170163508,-8.109756519,0],[112.169722917,-8.109614392,0],[112.169904523,-8.109083787,0],[112.170332481,-8.10923381,0]]]}",-8.109422784,112.1700298,,,41,,
31,37,"{""type"":""Polygon"",""coordinates"":[[[112.143195182,-8.103710947,0],[112.143126643,-8.103932113,0],[112.142899991,-8.103878358,0],[112.142971694,-8.103639129,0],[112.143195182,-8.103710947,0]]]}",-8.103789556,112.143047,,,41,,
32,38,"{""type"":""Polygon"",""coordinates"":[[[112.157754931,-8.108725585,0],[112.157605556,-8.109235357,0],[112.157494117,-8.109204534,0],[112.157560506,-8.108910526,0],[112.157261756,-8.108803829,0],[112.157387421,-8.108464772,0],[112.157764415,-8.108592807,0],[112.157728849,-8.108720843,0],[112.157754931,-8.108725585,0]]]}",-8.108779004,112.1575384,,,44,,
33,39,"{""type"":""Polygon"",""coordinates"":[[[112.154365918,-8.084069637,0],[112.154317824,-8.084364442,0],[112.154064721,-8.084344146,0],[112.15410666,-8.084042949,0],[112.154365918,-8.084069637,0]]]}",-8.084204575,112.1542135,,,26,,
34,41,"{""type"":""Polygon"",""coordinates"":[[[112.180655663,-8.09189521,0],[112.180685163,-8.092125763,0],[112.180530772,-8.092181868,0],[112.180495756,-8.092034402,0],[112.180395579,-8.092036962,0],[112.180428889,-8.091364209,0],[112.180802513,-8.091361977,0],[112.180837074,-8.091882025,0],[112.180655663,-8.09189521,0]]]}",-8.09171445,112.1806035,,,13,,
35,42,"{""type"":""Polygon"",""coordinates"":[[[112.171156516,-8.098835352,0],[112.171140637,-8.098910659,0],[112.171351359,-8.098928279,0],[112.17131077,-8.099177524,0],[112.171286992,-8.0992291,0],[112.171245384,-8.099278313,0],[112.171183913,-8.099299888,0],[112.17064577,-8.099274077,0],[112.17072723,-8.098827795,0],[112.170906509,-8.098850643,0],[112.170913068,-8.09880552,0],[112.171156516,-8.098835352,0]]]}",-8.099069493,112.1709908,,,21,,
36,43,"{""type"":""Polygon"",""coordinates"":[[[112.180778766,-8.106623423,0],[112.180718757,-8.106784499,0],[112.180333437,-8.106664482,0],[112.180391867,-8.106492351,0],[112.180581368,-8.106550781,0],[112.180601898,-8.106566572,0],[112.180778766,-8.106623423,0]]]}",-8.106639782,112.1805533,,,25,,
37,44,"{""type"":""Polygon"",""coordinates"":[[[112.164867961,-8.09931991,0],[112.164659744,-8.100136161,0],[112.164295536,-8.100045014,0],[112.16431932,-8.099947294,0],[112.164077326,-8.099885165,0],[112.164203571,-8.099060462,0],[112.164751165,-8.099106696,0],[112.164815329,-8.099139589,0],[112.164854342,-8.099188608,0],[112.164872356,-8.099242523,0],[112.164867961,-8.09931991,0]]]}",-8.09955503,112.1644748,,,49,,
38,45,"{""type"":""Polygon"",""coordinates"":[[[112.171441717,-8.098563604,0],[112.171409138,-8.098788587,0],[112.171216151,-8.09874772,0],[112.171229933,-8.098673634,0],[112.171253448,-8.098678141,0],[112.171279124,-8.098529806,0],[112.171441717,-8.098563604,0]]]}",-8.098661895,112.1713376,,,14,,
39,46,"{""type"":""Polygon"",""coordinates"":[[[112.179892845,-8.107398801,0],[112.179812307,-8.107605674,0],[112.179430145,-8.107468285,0],[112.179512263,-8.107261412,0],[112.179892845,-8.107398801,0]]]}",-8.107433578,112.1796618,,,42,,
40,47,"{""type"":""Polygon"",""coordinates"":[[[112.180419344,-8.105993645,0],[112.180382606,-8.106121142,0],[112.18015485,-8.106056408,0],[112.180205788,-8.105917339,0],[112.180419344,-8.105993645,0]]]}",-8.106021964,112.1802885,,,22,,
41,48,"{""type"":""Polygon"",""coordinates"":[[[112.157726941,-8.088788095,0],[112.157536826,-8.089257612,0],[112.157376823,-8.089208513,0],[112.157446915,-8.089013483,0],[112.157326489,-8.088937226,0],[112.157445914,-8.088690876,0],[112.157726941,-8.088788095,0]]]}",-8.088949858,112.1575182,,,2,,
42,49,"{""type"":""Polygon"",""coordinates"":[[[112.162436501,-8.116686611,0],[112.162641406,-8.116279126,0],[112.162830732,-8.116348346,0],[112.162607682,-8.116734262,0],[112.162457434,-8.116691654,0],[112.162436501,-8.116686611,0]]]}",-8.116507116,112.1626312,,,50,,
43,52,"{""type"":""Polygon"",""coordinates"":[[[112.183096388,-8.093040742,0],[112.183068832,-8.093232142,0],[112.183049488,-8.093188721,0],[112.183016069,-8.093132466,0],[112.183010029,-8.093125805,0],[112.183000112,-8.09308029,0],[112.18300628,-8.093035781,0],[112.183096388,-8.093040742,0]]]}",-8.09310637,112.1830497,,,38,,
44,53,"{""type"":""Polygon"",""coordinates"":[[[112.183068832,-8.093232142,0],[112.183096388,-8.093040742,0],[112.183098748,-8.093024347,0],[112.183354247,-8.093051028,0],[112.183308969,-8.093353423,0],[112.183097131,-8.093323507,0],[112.183109259,-8.093236993,0],[112.183068832,-8.093232142,0]]]}",-8.093182152,112.1832112,,,22,,
45,54,"{""type"":""Polygon"",""coordinates"":[[[112.172751752,-8.092751328,0],[112.172664656,-8.09309562,0],[112.172334388,-8.093017978,0],[112.172423698,-8.092680714,0],[112.172751752,-8.092751328,0]]]}",-8.092886851,112.172544,,,5,,
46,55,"{""type"":""Polygon"",""coordinates"":[[[112.177813502,-8.062126695,0],[112.177991438,-8.062200954,0],[112.177933186,-8.06237285,0],[112.177920435,-8.062383069,0],[112.177889771,-8.062380635,0],[112.177727244,-8.062318723,0],[112.17778924,-8.062149283,0],[112.177803262,-8.062153079,0],[112.177813502,-8.062126695,0]]]}",-8.062259361,112.1778606,,,53,,
47,56,"{""type"":""Polygon"",""coordinates"":[[[112.169847779,-8.094058368,0],[112.169829104,-8.094202956,0],[112.169362102,-8.094155821,0],[112.169409808,-8.093753803,0],[112.169850652,-8.093797648,0],[112.169823626,-8.094056209,0],[112.169847779,-8.094058368,0]]]}",-8.093980142,112.1696117,,,19,,
48,58,"{""type"":""Polygon"",""coordinates"":[[[112.169495835,-8.085031646,0],[112.169433334,-8.085223435,0],[112.169257257,-8.085159413,0],[112.169240215,-8.085141335,0],[112.16923948,-8.085116188,0],[112.169289562,-8.08496578,0],[112.169495835,-8.085031646,0]]]}",-8.085092427,112.1693635,,,13,,
49,59,"{""type"":""Polygon"",""coordinates"":[[[112.174177509,-8.07217179,0],[112.174105009,-8.072363574,0],[112.173915349,-8.072296953,0],[112.173984083,-8.072107279,0],[112.174177509,-8.07217179,0]]]}",-8.072234766,112.1740458,,,14,,
50,60,"{""type"":""Polygon"",""coordinates"":[[[112.174577716,-8.065872119,0],[112.174434618,-8.066254326,0],[112.174284098,-8.066202182,0],[112.174389088,-8.065821583,0],[112.174577716,-8.065872119,0]]]}",-8.066031273,112.1744239,,,7,,
51,61,"{""type"":""Polygon"",""coordinates"":[[[112.164465414,-8.094790174,0],[112.164439634,-8.095003327,0],[112.164301122,-8.094987967,0],[112.164279543,-8.095182945,0],[112.16415725,-8.095166171,0],[112.164139354,-8.09531926,0],[112.164166414,-8.095319805,0],[112.16415624,-8.095423065,0],[112.163964161,-8.095389205,0],[112.163999896,-8.095089894,0],[112.164162357,-8.095103818,0],[112.164205658,-8.094758231,0],[112.164465414,-8.094790174,0]]]}",-8.095066885,112.1642041,,,29,,
52,64,"{""type"":""Polygon"",""coordinates"":[[[112.151258341,-8.107756933,0],[112.15103761,-8.108627593,0],[112.150752781,-8.108539631,0],[112.151012478,-8.107655822,0],[112.151258341,-8.107756933,0]]]}",-8.108153651,112.1510123,,,30,,
53,65,"{""type"":""Polygon"",""coordinates"":[[[112.180419344,-8.105993645,0],[112.180205788,-8.105917339,0],[112.179958375,-8.105835677,0],[112.180132881,-8.105350603,0],[112.180587685,-8.105486412,0],[112.180419344,-8.105993645,0]]]}",-8.105667448,112.1802758,,,35,,
54,66,"{""type"":""Polygon"",""coordinates"":[[[112.187780547,-8.088745972,0],[112.187520857,-8.088863332,0],[112.187480291,-8.088690857,0],[112.187501313,-8.088682389,0],[112.187496028,-8.0884882,0],[112.187738014,-8.088491261,0],[112.187769703,-8.088581281,0],[112.187778653,-8.088661455,0],[112.187780547,-8.088745972,0]]]}",-8.088653513,112.1876257,,,103,,
55,67,"{""type"":""Polygon"",""coordinates"":[[[112.195561944,-8.097642669,0],[112.19546991,-8.097666665,0],[112.195424002,-8.097666268,0],[112.195346611,-8.097686259,0],[112.195225399,-8.09770587,0],[112.194985099,-8.09774098,0],[112.194978657,-8.097761584,0],[112.194947858,-8.097746115,0],[112.194911739,-8.097731732,0],[112.195107483,-8.097116022,0],[112.195711025,-8.097303058,0],[112.195666346,-8.097399777,0],[112.195644786,-8.097478101,0],[112.195625458,-8.097539916,0],[112.195606148,-8.097599664,0],[112.195591231,-8.097634658,0],[112.195561944,-8.097642669,0]]]}",-8.097451682,112.1952943,,,1,,
56,69,"{""type"":""Polygon"",""coordinates"":[[[112.163389846,-8.130432576,0],[112.163331263,-8.130678553,0],[112.163078748,-8.130636557,0],[112.16312319,-8.13037658,0],[112.163389846,-8.130432576,0]]]}",-8.130529562,112.1632301,,,45,,
57,70,"{""type"":""Polygon"",""coordinates"":[[[112.18183208,-8.099848735,0],[112.181783125,-8.100022445,0],[112.182204767,-8.100095087,0],[112.182188975,-8.100175625,0],[112.182163708,-8.100230897,0],[112.182125808,-8.100273535,0],[112.182042111,-8.100311435,0],[112.181490977,-8.100259322,0],[112.181610995,-8.099787147,0],[112.18183208,-8.099848735,0]]]}",-8.100107956,112.1818046,,,39,,
