id_inventaris,jenis_inventaris,Nama,no_registrasi,tahun_perolehan,nilai_aset,luas,status,alamat,kelurahan_id,kecamatan_id,kondisi,jenis_bangunan,jenis_konstruksi,skpd_id,master_barang_id,kode_gedung
1587E,C,Gedung SDN Bendo 1,31,2007,53291100,381.64,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1051,E
1775I,C,SPILUT SDN BENDO 1,2,2013,1000000,115.29,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1006,I
1587B,C,Pembangunan UKS,31,2007,7200000,30.87,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1051,B
1509F,C,PARKIR SDN BENDO 1,1,2009,15000000,67.2,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1003,F
1587C,C,Kontruksi Gedung MCK,31,2007,6000000,37.4,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1051,C
1546A,C,"GEDUNG SEKOLAH RKB	 SDN BENDO 1",21,1990,1459080000,309.54,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1004,A
1587D,C,DAK Gd Sekolah,31,2007,7200000,162,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1051,D
1646G,C,PAVING SDN BENDO 1,4,2011,38736000,617.05,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1001,G
2395J,C,"Termin (1,2,3) Pembangunan Jamban 1 Paket SDN Bendo 1 (DAK)",8,2018,97953408,29.4,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1002,J
1546K,C,Gedung Sekolah,21,1990,59602000,211.11,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1004,K
1512H,C,TUGU SDN BENDO 1,3,2009,20350500,28.85,Pemda,"Jl. Ciliwung No.142, Bendo, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66116",8,2,B,TTK,BTN,1000,1003,H
2699F,C,JAMBAN PUTRI SDN BENDOGERIT 1 (DIKDAS),28,2019,55372125.72,24,Pemda,"Jl. Hasanudin Blitar No.1, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BTN,1001,1002,F
1288A,C,Bangunan Pendidikan,1,1990,141000000,150.3,Pemda,"Jl. Hasanudin Blitar No.1, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BTN,1001,1004,A
1288D,C,Gedung RKB SDN Bendogerit 1,1,1990,317000000,444.4,Pemda,"Jl. Hasanudin Blitar No.1, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BTN,1001,1004,D
1288B,C,Bangunan Gedung Sekolah,1,1990,261500000,887.36,Pemda,"Jl. Hasanudin Blitar No.1, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,BTK,BTN,1001,1004,B
1565K,C,SDN BENDOGERIT 1,9,2007,29265306,35.4,Pemda,"Jl. Hasanudin Blitar No.1, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BTN,1001,1051,K
