id,nama,kode_barang
969,Tanah Bangunan Rumah Negara Golongan III,1.3.1.01.01.01.002
970,Tanah Bangunan Rumah Negara Golongan II,1.3.1.01.01.01.003
978,Tanah Kaveling Tanah Matang,1.3.1.01.01.01.011
979,TANAH BANGUNAN PERUMAHAN/G.TEMPAT TINGGAL LAINNYA,1.3.1.01.01.01.012
980,Tanah Bangunan Pasar,1.3.1.01.01.02.001
981,Tanah Bangunan Pertokoan/RumahToko/Koperasi,1.3.1.01.01.02.002
986,Tanah Bangunan Terminal Darat,1.3.1.01.01.02.007
992,Tanah Bangunan Gedung Perdagangan,1.3.1.01.01.02.013
1191,Tanah Bangunan Kantor Pemerintah,1.3.1.01.01.04.001
1192,Tanah Bangunan Pendidikan Dan Latihan,1.3.1.01.01.04.002
1193,Tanah Kosong Yang Sudah Diperuntukkan,1.3.1.01.02.02.002
1194,Tanah Bangunan Bangunan Pembibitan,1.3.1.01.01.04.013
1195,Tanah Peternakan,1.3.1.01.02.02.015
1196,Tanah Untuk Bangunan Instalasi Pengolahan Limbah,1.3.1.01.03.09.007
1197,Tanah Untuk Bangunan Instalasi Pengolahan Sampah,1.3.1.01.03.09.003
1198,Tanah Sawah Padi,1.3.1.01.02.07.002
1199,Tanah Untuk Bangunan Pengembangan Sumber Air Dan Air Tanah,1.3.1.01.03.08.005
1200,TANAH UNTUK BANGUNAN AIR Lainnya,1.3.1.01.03.08.009
1201,Tanah Bangunan Olah Raga,1.3.1.01.01.04.030
1202,Tanah Lapangan Pemancar TV/Radio/Radar,1.3.1.01.03.04.001
1203,Tanah Untuk Makam Pahlawan,1.3.1.01.03.12.001
1204,Tanah Untuk Bangunan Bersejarah,1.3.1.01.03.11.006
1205,Tanah Lapangan Parkir Tanah Keras,1.3.1.01.03.02.005
1207,Tanah Jalan,1.3.1.01.01.07.002
1208,Tanah Jembatan,1.3.1.01.01.07.003
1210,Tanah Lapangan Sepak Bola,1.3.1.01.03.01.005
1211,Tanah Untuk Makam Umum,1.3.1.01.03.12.005
1213,Tanah Bangunan Rumah Pemotongan Hewan ( RPH ),1.3.1.01.01.04.019
1214,Tanah Bangunan Rumah Sakit,1.3.1.01.01.04.003
1215,Tanah Jaringan/Saluran,1.3.1.01.02.01.006
1217,Tanah Bangunan Balai Sidang/Pertemuan,1.3.1.01.01.04.004
1218,TANAH UNTUK BANGUNAN TEMPAT KERJA LAINNYA,1.3.1.01.01.04.032
1219,Tanah Bangunan Tempat Ibadah,1.3.1.01.01.04.027
1220,Tanah Bangunan Puskesmas/Posyandu,1.3.1.01.01.04.006
2444,Tanah Bangunan Apotik,1.3.1.01.01.04.026
2446,Tanah Bangunan Pelabuhan Udara,1.3.1.01.01.04.029
2513,Tanah Hutan Taman Wisata,1.3.1.01.02.04.038
2527,Tanah Sawah Palawija,1.3.1.01.02.07.003
2546,Tanah Bekas Sawah/Rawa,1.3.1.01.02.09.003
2552,Tanah Lapangan Bola Volly,1.3.1.01.03.01.006
2585,Tanah Untuk Jalan Khusus/Komplek,1.3.1.01.03.07.009
2607,Tanah Untuk Candi,1.3.1.01.03.11.004
2612,Tanah Untuk Makam Bersejarah,1.3.1.01.03.12.006
8625,Tanah Untuk Bangunan Sarana Olah Raga Lainnya,1.3.1.01.01.05.003
8626,Tanah Untuk Bangunan Sarana Olah Raga Terbuka,1.3.1.01.01.05.002
8789,Tanah Untuk Bangunan Sarana Olah Raga Tertutup,1.3.1.01.01.05.001
8790,Tanah Untuk Bangunan Masjid,1.3.1.01.01.06.001
8831,TANAH LAPANGAN OLAH RAGA Lainnya,1.3.1.01.03.01.025
15427,Kerja Sama Pemanfaatan Tanah,1.5.2.01.01.02.001
1000,BANGUNAN GEDUNG GARASI/POOL LAINNYA,1.3.3.01.01.14.004
1001,BANGUNAN GEDUNG KANTOR LAINNYA,1.3.3.01.01.01.005
1002,Bangunan KM/WC,1.3.3.01.01.06.013
1003,Bangunan Gedung Kantor Permanen,1.3.3.01.01.01.001
1004,Bangunan Gedung Pendidikan Semi Permanen,1.3.3.01.01.10.002
1005,"Bangunan Gedung
Terminal/Pelabuhan/Bandara Permanen",1.3.3.01.01.18.001
1006,BANGUNAN GEDUNG TEMPAT PENDIDIKAN LAINNYA,1.3.3.01.01.10.005
1007,"Bangunan Gedung Kantor Semi
Permanen",1.3.3.01.01.01.002
1008,BANGUNAN GUDANG LAINNYA,1.3.3.01.01.02.014
1009,BANGUNAN GEDUNG TEMPAT PERTEMUAN LAINNYA,1.3.3.01.01.09.007
1010,Rumah Negara Golongan III Tipe A Permanen,1.3.3.01.02.03.001
1011,Rumah Negara Golongan I Tipe A Permanen,1.3.3.01.02.01.001
1012,Bangunan Gedung Pertemuan Permanen,1.3.3.01.01.09.001
1013,BANGUNAN GEDUNG TEMPAT KERJA LAINNYA LAINNYA,1.3.3.01.01.30.005
1014,"Bangunan Gedung Tempat Ibadah
Permanen",1.3.3.01.01.08.001
1015,BANGUNAN GEDUNG UNTUK POS JAGA LAINNYA,1.3.3.01.01.13.010
1016,Gedung Olah Raga Tetutup Permanen,1.3.3.01.01.11.001
1018,Bangunan Olah Raga Terbuka Permanen,1.3.3.01.01.11.004
1019,Tanah Untuk Bangunan Sarana Olah Raga Terbatas,1.3.3.01.01.11.008
1020,BANGUNAN GEDUNG PERTOKOAN/KOPERASI/PASAR LAINNYA,1.3.3.01.01.12.004
1021,Tugu Peringatan,1.3.3.04.01.05.001
1022,Rumah Negara Golongan III Tipe B Permanen,1.3.3.01.02.03.004
1023,Bangunan Klinik/Puskesmas,1.3.3.01.01.06.010
1024,"Bangunan Gedung Laboratorium Semi
Permanen",1.3.3.01.01.05.002
1025,BANGUNAN KESEHATAN LAINNYA,1.3.3.01.01.06.014
